id,city,lon,lat
0,西昌市,102.2630581396,27.8944681029
1,冕宁县,102.174886,28.551094
2,普格县,102.5436604640,27.3566383853
3,会东县,102.5609530841,26.6313145856
4,会理县,102.2436961313,26.6494669967
5,宁南县,102.7564541100,27.0602728448
6,德昌县,102.1722489983,27.3956078254
7,布拖县,102.8162678222,27.7027709948
8,金阳县,103.2508250510,27.6887503194
9,盐源县,101.5092069885,27.4223986310
10,喜德县,102.4171963327,28.2990837602
11,美姑县,103.1392700772,28.3174257078
12,越西县,102.5298770661,28.6343881533
13,甘洛县,102.7804952461,28.9564985257
14,木里藏族自治县,101.2796769332,27.9294464591
15,昭觉县,102.8496457332,28.0029962408
16,雷波县,103.5715033785,28.2627331490
